"id","comment"
,"Bang mo nanya,ini murid sudah login  n masuk di beranda dan di suruh gurunya nyari clas notebook tpi kok ga ada ya,,mohon di jawab ya bang"
,"Cara menghapus penugasan yg sdh tertulis diclass notebook tp di teams"
,"suara kresek kresek nya mengganggu"
"83L9SRR-fqk",
"_WIIgnG70NQ",
"H4WtIp1skQs",
"BC7RDlVVtms",
"LqzR17fpSgE",
"QMzyoQJJhFg",
"pIjBj73NFW8",
"LsueKUsTjYk",
"LvenB1plRoc",
"zzVq7CUBxfI",
"wMihIJbU2Lo",
"K07QkSl8mGA",
"MXO6UqF3EYM",
"uzlavDnF9Pw",
"gU6hEJZ_pqs",
"0_2QeAKJnU4",
"dfnlnWNgO08",
"_RFX8C0diRo",
,"Terimakasih sangat bemanfaat... Tutorial aetting dns dong... Gagalnya di situ terus..."
,"Yang saya punya masih A5 hanya 25 user. Bagaimana cara mengubah ke A1 agar free untuk semua user?"
,"yg mempelajari ini saat darurat covid-19 mana jempolnyaaaaa???"
,"Selamat pagi bu....tapi aplikasi ini khan berbayar setiap bulannya dan menjalankannya hrs secara online. 
Pertanyaan saya apakah aplikasi ini bisa dijalankan secara offline dan gratis permanen 
Terima kasih atas infonya bu.."
,"Halo, setelah kita memverifikasi dan pindah ke a1, apakah Bapak/Ibu/siswa  bisa mengklaim kredit dari azure sebagai pengajar/siswa?"
"fph5TgEDO50",
"9R5kCw-0OEE",
"vMIlThDRrW8",
"GDCL2FMRbdI",
"Gr2KarhzJe4",
"KBlvPnPmyg4",
"BEFtuImCelM",
"T1W9P8iL920",
"TsJt5sHyerw",
"GrybWuYorlk",
"6r7Gdtiak4k",
"3HC8O8zP7sE",
"Rx9Zf2mgO5M",
,"Bang aplikasi untuk buat kolase seperti itu diandroid apa ya?"
,"Hi Sahabar Pembelajar, bisa mengikuti panduan yang ada di sini: https://medium.com/visiblelearningdesigns/how-to-get-microsoft-office-365-for-your-school-for-free-part-3-of-3-7568378f1c80"
