,text_bersih
257,ka maribelajarid  kalau sudah ikut pre test tetapi ingin daftar di posisi lain apakah bisa 
258,Ka mau bertanya apakah jika tidak lulus berkas spjtm maka kelulusan akan berpengaruh
259,maribelajarid oohhh gitu yah min
260,wdyayptr hi dear selama pendaftaran masih dibuka dapat mendaftar dibeberapa jalur pembelajaran Namun hasil akhir tetap memilih satu
261,duitreceh hi dear berkas harus sesuai dengan syarat dan ketentuan
262,min itu maksudnya proses seleksi mahasiswa di platform itu platform apa ya apakah seleksi yang dimaksud itu survey kebhinekaan
263,Kak kalau yg belum mendapatkan email pre test apakah dinyatakan tidak lolos 
264,maribelajarid apakah kita mendapatkan uang saku
265,Min saya tes di webnya kok nyandet trus ya min dan waktunya terus berkurang kalo gini caranya apa gabisa diulang min Karena koneksi saya juga lancar
266,ini khusus mahasiswa ya
267,endahenje Hi kak benar 
268,hi kak aku udah ampe tahap pretest dan validasi apakah stlh itu ada tahap konfirmasi lolos pretest melalui email atau lgsng seleksi di platform 
269,eecaaa platform kampus merdeka kak
270,lutfiahans pengumuman melalui platform kampus merdeka kak
271,Ada yang udah keterima
272,aryamanunggal255 ada kak
273,maribelajarid terjawwb ka
274,Semnagat koncku
275,Mntaplah
276,What Language is it
277,theradlifavaiaoo2 Indonesian
278,cek dm maribelajarid
279,agil done kak 
280,cek dm min
281,cek dm maribelajarid
282,Cek dm kak pls maribelajarid
283,Kalau boleh tau pengumuman lolos studi independen kapan ya min
284,hasanah14901 hi dear pengumuman penerimaan melalui platform kampus merdeka pada tanggal 411 Februari 2023 Mohon cek akun secara berkala
285,rafidikbar done kak
286,agil sudah kak 
287,muhammadfahridy done kak
288,maribelajarid terimakasih kak admin atas informasinya
289,Kak izin tanya kalau tidak ke terima keterangan di platformnya diproses  akan berubah tidak ya maribelajarid
290,maribelajarid maaf kak bisa cek dm lagi
291,Min mohon cek dm hehe makasih
292,Min mohon cek dm ya makasih
293,yg lolos program SIB udah ada yang masuk grup belum
294,tyadr halo kak sudah ada grupnya belum ya
295,tyadr lolos nih
296,maribelajarid cek dm ka
297,Ada yang lolos tapi blm ada informasi lagi lewat email
298,cek dm min maribelajarid
299,Ini yang lolos untuk komunikasi hanya melalui Microsoft Teams saja ya Apa ada grup watele begitu mungkin
300,nabiiilaz nitip kak
301,nabiiilaz kka lolos juga
302,mfikrisw kakak lolos juga
303,yellvnaa lolos ga kak
304,anscntyaa lolos kak
305,mfikrisw cek dm kak
306,anscntyaa lolos kak
307,yellvnaa hi kak saat ini apakah masih blm dapat email Jika blm mohondapat memeriksa inboxspam di email kakak ya terima kasih
308,maribelajarid Sudah ada kak terima kasih 
309,Halo kak admin klo yang udh daftar di bulan april harus daftar lagi kah atau gimana
310,Halo kak Yang sebelumnya dapat email dan diminta menunggu itu gimana ya kak
311,Hallo kak agilanggini19 dan hadygunawan16 jika sudah mendaftar gelombang 1 tidak perlu mendaftar kembali Dan cek email secara berkala untuk informasi pembagian kelas 
312,maribelajarid baik kak Terima kasih kak
313,keren
314,Ampunn suhuuuu
315,Suuuttt
